"Citation","Year","Number","Title","Resource type","URL"
"World Bank et al.","2015","1","Climate-Smart Agriculture in Peru. CSA Country Profiles for Latin America Series","Fact Sheet","https://climateknowledgeportal.worldbank.org/sites/default/files/2019-06/CSA-in-Peru.pdf"
"World Economic Forum","2019","1","How the Middle East is suffering on the front lines of climate change","Article","https://www.weforum.org/agenda/2019/04/middle-east-front-lines-climate-change-mena/"
"World Meteorological Organization (WMO)","2020","1","State of the Climate in Latin America and the Caribbean 2020","WMO publication","https://reliefweb.int/sites/reliefweb.int/files/resources/1272_Statement_LAC_en_big.pdf"
"World Meteorological Organization (WMO)","2021","1","New report shows impacts of climate change and extreme weather in Latin America and Caribbean","WMO publication","https://public.wmo.int/en/media/press-release/new-report-shows-impacts-of-climate-change-and-extreme-weather-latin-america-and"
"World Vision","2021","1","Price Shocks","World Vision Report","https://www.wvi.org/sites/default/files/2021-09/9022_Price_Shocks_Report_Final.pdf"
"Wudad et al.","2021","1","The impact of improved road networks on marketing of vegetables and households' income in Dedo district, Oromia regional state, Ethiopia","Journal article","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8524753/"
"WWF","2007","1","Climate Change Impacts in the Amazon: Review of scientific literature.","Report","https://d2ouvy59p0dg6k.cloudfront.net/downloads/amazon_cc_impacts_lit_review_final_2.pdf"
"Yadav et al.","2011","1","Crop Adaptation to Climate Change.","Journal",
"Yadvinder-Singh et al.","2014","1","Improving Water Productivity of Wheat-Based Cropping Systems in South Asia for Sustained Productivity","Journal","https://www.researchgate.net/publication/278408125_Improving_Water_Productivity_of_Wheat-Based_Cropping_Systems_in_South_Asia_for_Sustained_Productivity"
"Yan and Alvi","2022","1","Food security in South Asia under climate change and economic policies","Journal","https://www.emerald.com/insight/content/doi/10.1108/IJCCSM-10-2021-0113/full/html"
"Yara","2022","1","Crop solutions: Potatoes","Website","https://www.yara.co.uk/crop-nutrition/potato/potato-agronomic-principles/"
"Yen et al.","2019","1","Development of a participatory approach for mapping climate risks and adaptive interventions (CS-MAP) in Vietnam’s Mekong River Delta","Journal article","https://doi.org/10.1016/j.crm.2019.04.004"
"Yigezu et al.","2021","1","Can an incremental approach be a better option in the dissemination of conservation agriculture? Some socioeconomic justifications from the drylands of Morocco.","Journal article","https://doi.org/10.1016/j.still.2021.105067"
"Your Article Library","2021","1","Your Article Library","Website","https://www.yourarticlelibrary.com/"
"Yuan et al.","2022","1","Southeast Asia must narrow down the yield gap to continue to be a major rice bowl","Journal article","https://www.nature.com/articles/s43016-022-00477-z.pdf?origin=ppub"
"Yzarra et al.","2017","1","Impact of climate change on some grapevine varieities grown in Peru for Pisco Production","Journal article","https://oeno-one.eu/article/view/90"
"Zacharias et al.","2014","1","Assessment of impacts of climate change on rice and wheat in the Indo-Gangetic plains","Journal article","https://hdl.handle.net/10568/65651"
"Zahedi et al.","2020","1","Ready for the Dry Years: Building resilience to drought in South-East Asia.","UN Publication","https://www.unescap.org/sites/default/files/publications/Ready%20for%20the%20Dry%20Years.pdf"
"Zazueta-Gutiérrez et al.","2021","1","Heat stress mitigation strategies for beef cattle
under intensive finishing in the Mexican dry
tropics","Report","https://revista-agroproductividad.org/index.php/agroproductividad/article/download/1874/1648/7988"
"Zhai and Zhuang","2009","1","Agricultural Impact of Climate Change: A General Equilibrium Analysis with Special Reference to Southeast Asia","Working paper","chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.adb.org/sites/default/files/publication/155986/adbi-wp131.pdf"
"Zhao et al.","2017","1","Temperature increases reduces global yields of major crops in four Independent Estimates.","Journal","https://doi.org/10.1073/pnas.1701762114"
"Zingore et al.","2015","1","Soil Degradation in sub-Saharan Africa and Crop Production Options for Soil Rehabilitation","Journal","https://www.researchgate.net/publication/314086224_Soil_Degradation_in_sub-Saharan_Africa_and_Crop_Production_Options_for_Soil_Rehabilitation"
"Zingore et al.","2015","2","Soil Degradation in sub-Saharan Africa and Crop Production Options for Soil Rehabilitation.","Journal article","https://www.researchgate.net/publication/314086224_Soil_Degradation_in_sub-Saharan_Africa_and_Crop_Production_Options_for_Soil_Rehabilitation"
"Zougmore et al.","2016","1","Toward climate-smart agriculture
in West Africa: a review of climate change impacts, adaptation strategies and policy developments for the livestock, fishery and crop production sectors","Journal article","https://www.researchgate.net/publication/311212383_Toward_climate-smart_agriculture_in_West_Africa_A_review_of_climate_change_impacts_adaptation_strategies_and_policy_developments_for_the_livestock_fishery_and_crop_production_sectors"
"Al-Alaween et al.","2016","1","Predictive modelling of the granulation process using a systems-engineering approach","Journal article","https://www.sciencedirect.com/science/article/abs/pii/S0032591016305319"
"Thierfelder","2021","1",,"Personal communication",
"Aman et al.","2021","1","Autophagy in healthy aging and disease","Journal article","https://www.nature.com/articles/s43587-021-00098-4"
"Argaw et al.","2012","1","Astrocyte-derived VEGF-A drives blood-brain barrier disruption in CNS inflammatory disease","Journal article","https://pubmed.ncbi.nlm.nih.gov/22653056/"
"D'Alessandro et al.","2015","1","Green areas and public health: improving wellbeing and physical activity in the urban context","Journal article","https://pubmed.ncbi.nlm.nih.gov/26499409/"
"Fall","2022","1",,"Personal communication",
"EcoMENA","2021","1","Ecomena","Website","http://ecomena.com/"
"Kamunya","2022","1",,"Personal communication",
"Oteng-Darko","2022","1",,"Personal communication",
"Mapplecroft","2014","1","Maplecroft","Website","https://www.maplecroft.com/"
"WHO","2020","1",,"Website","https://www.who.int/"
"Alene et al.","2018","1","Identifying crop research priorities based on potential economic and poverty reduction impacts: The case of cassava in Africa, Asia, and Latin America","  Journal article","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201803"
"Ahmadalipour and Hamid","2018","1","Escalating heat-stress mortality risk due to global warming in the Middle East and North Africa (MENA)","  Journal article","https://pubmed.ncbi.nlm.nih.gov/29763817/"
"ATAMANOV and TANDON","2019","1","September 2019 PovcalNet Update: What's New","Journal article","https://econpapers.repec.org/paper/wbkwbgpmt/10.htm"
"Caldecott et al.","2013","1","Stranded assets in agriculture: protecting value from environment-related risks","Journal article","https://ora.ox.ac.uk/objects/uuid:4496ac03-5132-4a64-aa54-7695bfc7be9d"
"Castro et al.","2022","1","Everyday Adaptation: Theorizing climate change adaptation in daily life","Journal article","https://www.sciencedirect.com/science/article/pii/S0959378022000930?casa_token=zSaTJId8u3gAAAAA:3_Om7pBaSNB65ljP0SdHkDv7UwH2VMip8kk7RXFbyo3PQx1ayGaOttM2uecTgqcc9orllzna"
"Broom","2019","1",,"Journal article",
"Doss at al.","2020","1","Understanding rural household behavior: Beyond Boserup and Becker","Journal article","https://onlinelibrary.wiley.com/doi/full/10.1111/agec.12540"
"Eze et al.","2021","1"," Youth and Peacebuilding in West Africa - The experiences of the West Africa Network for Peacebuilding (WANEP)","Journal article","https://www.taylorfrancis.com/chapters/edit/10.4324/9780429318603-28/youth-peacebuilding-west-africa-chukwuemeka-eze-levinia-addae-mensah-osei-baffour-frimpong"
"Chibani","2022","1",,"Journal article",
"Savoy and Norris","2022","1","Supporting Water Programming in the Sahel","Journal article","https://www.csis.org/analysis/supporting-water-programming-sahel"
"Ekwem et al.","2021","1","Livestock movement informs the risk of disease spread in traditional production systems in East Africa","Journal article","https://www.nature.com/articles/s41598-021-95706-z"
"Najjar and Badstue","2020","1",,"Journal article",
"Nyariki et al.","2019","1","The value of pastoralism in Kenya: Application of total economic value approach","Journal article","https://pastoralismjournal.springeropen.com/articles/10.1186/s13570-019-0144-x"
"Nkiaka et al.","2019","1","Identifying user needs for weather and climate services to enhance resilience to climate shocks in sub-Saharan Africa","Journal article","https://www.researchgate.net/publication/336586952_Identifying_user_needs_for_weather_and_climate_services_to_enhance_resilience_to_climate_shocks_in_sub-Saharan_Africa"
"Eslami et al.","2019","1","Community attachment, tourism impacts, quality of life and residents’ support for sustainable tourism development","Journal article","https://www.tandfonline.com/doi/full/10.1080/10548408.2019.1689224?casa_token=ZuedAkVg83IAAAAA%3AW0AC53QxHiZ1TtrU7AUNg3w0dYVYoT1KtDLnEMoKIqef1lgGCuKwxbi2orTJ1N8GCL7LF2LzbZ4"
"Grassi et al.","2015","1",,"Journal article",
"WEHREY and FAWAL","2022","1","Cascading Climate Effects in the Middle East and North Africa: Adapting Through Inclusive Governance","Journal article","https://policycommons.net/artifacts/2267979/cascading-climate-effects-in-the-middle-east-and-north-africa/3027645/"
"Fobert et al.","2021","1","Dengue emergence in the temperate Argentinian province of Santa Fe, 2009–2020","Journal article","https://www.nature.com/articles/s41597-021-00914-x"
"Funk et al.","2012","1","A climate trend analysis of Ethiopia","Journal article","https://pubs.er.usgs.gov/publication/fs20123053"
"Gardner et al.","2016","1","A decade of sea level rise slowed by climate-driven hydrology","Journal article","https://www.science.org/doi/abs/10.1126/science.aad8386"
"Lahn","2022","1","Cascading climate risks and options for resilience and adaptation in the Middle East and North Africa","Journal article","https://www.cascades.eu/wp-content/uploads/2022/03/CASJ9418-MENA-Report-220328-v2.pdf"
"Niki","2010","1",,"Journal article",
"Savvaidis et al.","2022","1",,"Journal article",
"de Graaff et al.","2011","1","Agriculture and food security in selected countries in Sub-Saharan Africa: diversity in trends and opportunities","Journal article","https://link.springer.com/article/10.1007/s12571-011-0125-4"
"Rahimi et al.","2021","1","Heat stress will detrimentally impact future livestock production in East Africa","Journal article","https://www.nature.com/articles/s43016-021-00226-8"
"Jha et al.","2020","1","The real potential of current passive satellite data to map aboveground biomass in tropical forests","Journal article","https://zslpublications.onlinelibrary.wiley.com/doi/full/10.1002/rse2.203"
"Njiraini","2022","1","Scientific and Indigenous Knowledge Understanding of Rainfall Induced Landslides in Murang’a County, Kenya","Journal article","https://journals.eanso.org/index.php/eajenr/article/view/550"
"Podesta","2019","1",,"Personal Communication","https://www.americanprogress.org/people/podesta-john/"
"Kathleen","2015","1","Arts education and the high school dropout problem","Journal article","https://link.springer.com/article/10.1007/s10824-014-9238-x"
"Boote et al.","2022","1",,"Journal article",
"Acevedo-Siaca et al.","2020","1","Variation in photosynthetic induction between rice accessions and its potential for improving productivity","Journal article","https://nph.onlinelibrary.wiley.com/doi/full/10.1111/nph.16454"
"Murkomen et al.","2019","1","climate variability adaptation using fodder crops: a case","Journal article",
"Kusiluka","1996","1","Diseases of Small Ruminants: A Handbook: Common Diseases of Sheep and Goats in Sub-Saharan Africa","Journal article",
"Abdelali-Martini et al.","2011","1"," Empowering Women in the Rural Labor Force with a Focus on Agricultural Employment in the Middle East and North Africa (MENA)  ","Journal article",
"Devkota Wasti et al.","2021","1",,"Journal article",
"East et al.","2015","1",,"Journal article",
"Ncube et al.","2013","1","The Making of Middle Class in Africa: Evidence from DHS Data","Journal article","https://ideas.repec.org/p/iza/izadps/dp7352.html"
"Winslow and Thomas","2007","1","Desertification in the Middle East and North Africa: warning signs for a global future","Journal article","https://www.researchgate.net/publication/277201865_Desertification_in_the_Middle_East_and_North_Africa_warning_signs_for_a_global_future"
"Otte and Chilonda","2002","1","Cattle and Small Ruminant Production Systems in Sub-Saharan Africa. A Systematic Review.","Journal article","https://scirp.org/reference/referencespapers.aspx?referenceid=2844462"
