"From","Link type","To","Description","Bibliographic resources","Tags","Type","Connection"
"Unsuitable crop varieties","Is mitigated by","Adopt disease tolerant varieties","Cultivars are sensitive to stress. ","(Kamunya S. pers. comms., 2022)","Technology, pests and diseases","SSA Highland Perennial","SSA Highland Perennial-Connection-36"
"Unsuitable crop varieties","Is mitigated by","Adopt pest tolerant breeds","Cultivars are sensitive to stress. ","(Kamunya S. pers. comms., 2022)","Technology, pests and diseases","SSA Highland Perennial","SSA Highland Perennial-Connection-37"
"Water scarce area","Is mitigated by","Invest in water harvesting and storage infrastructure"," ","(Kamunya S. pers. comms., 2022)","Ecosystem-based adaptation","SSA Highland Perennial","SSA Highland Perennial-Connection-38"
"High prevalence of land degradation","Is mitigated by","Protect/conserve riparian zones"," ","(Kamunya S. pers. comms., 2022)","Ecosystem-based adaptation","SSA Highland Perennial","SSA Highland Perennial-Connection-39"
"Cultivation area prone to frost","Is mitigated by","Undertake pruning to reduce damaged leaves"," ","(Kamunya S. pers. comms., 2022)","Human capacity, technology, conservation agriculture","SSA Highland Perennial","SSA Highland Perennial-Connection-40"
"Cultivation area prone to frost","Is mitigated by","Cold air drainage and diversion","Manage frost with cold air drainage and diversion.","(Kamunya S. pers. comms., 2022)","Human capacity, technology, conservation agriculture","SSA Highland Perennial","SSA Highland Perennial-Connection-41"
"Unsuitable crop varieties","Is mitigated by","Plant multiple varieties"," ","(Kamunya S. pers. comms., 2022)","Human capacity, technology, conservation agriculture","SSA Highland Perennial","SSA Highland Perennial-Connection-42"
"High levels of deforestation","Is mitigated by","Implement agroforestry practices"," ","(Kamunya S. pers. comms., 2022);(Bongase ED, 2017)","Climate-smart agriculture, agroforestry","SSA Highland Perennial","SSA Highland Perennial-Connection-43"
"Fragmented landscapes","Is mitigated by","Capacity building on sustainable agricultural practices","Strengthening capacity for climate change adaptation in ... is key to sustainable agricultural development in sub-Saharan Africa.","J Haggar  et al.,2021","Human capacity, technology, conservation agriculture","SSA Highland Perennial","SSA Highland Perennial-Connection-103"
"High prevalence of land degradation","Is mitigated by","Capacity building on sustainable agricultural practices","The high land degradation rate coupled with economic development reflect the tradeoffs involved in clearing forest should be mitigated  by capacity building .","E Nkonya et al.,2016 ","Human capacity, technology, conservation agriculture","SSA Highland Perennial","SSA Highland Perennial-Connection-104"
"High levels of deforestation","Is mitigated by","Improve climate change awareness
"," Africa's forest cover is on a steady decline, weakening the ability of the continent's ecosystems to withstand climate change, hence the need to create awareness on climate change.","Joan I. 2021","Ecosystem-based adaptation","SSA Highland Perennial","SSA Highland Perennial-Connection-105"
"High levels of deforestation","Is mitigated by","Improve access to climate information services","Africa's forest cover is on a steady decline, hence the need to Improve access to climate information services.","Joan I. 2021","Ecosystem-based adaptation","SSA Highland Perennial","SSA Highland Perennial-Connection-106"
"High levels of deforestation","Is mitigated by","Implement reforestation practices"," ","(Kamunya S. pers. comms., 2022)","Climate-smart agriculture, agroforestry","SSA Highland Perennial","SSA Highland Perennial-Connection-44"
"Limited uptake of modern technologies","Is mitigated by","Improve access to agricultural extension services"," Low uptake of new technology due to low awareness levels.  Low uptake of new technology due to inhibiting costs, especially for small-holder farmers.","(Kamunya S. pers. comms., 2022)","Human capacity, technology","SSA Highland Perennial","SSA Highland Perennial-Connection-45"
"Lack of road infrastructure","Is mitigated by","Invest in road infrastructure","Cultivation in marginal areas.","(Kamunya S. pers. comms., 2022)","Infrastructure","SSA Highland Perennial","SSA Highland Perennial-Connection-46"
"Reliance on rainfed agriculture","Is mitigated by","Implement water conservation irrigation","Water efficient irrigation systems e.g. drip.","(Kamunya S. pers. comms., 2022)","Technology, farm -evel","SSA Highland Perennial","SSA Highland Perennial-Connection-47"
"Unstable commodity prices","Is mitigated by","Diversify markets","The fall in commodity prices represents a significant shock for the sub-Saharan African region, hence the need to diversify markets.","Kingsley I., 2017","Financial; Institutions","SSA Highland Perennial","SSA Highland Perennial-Connection-107"
"Small farm size","Is mitigated by","Diversify livelihoods","Diversification opportunities are important to the livelihoods of small holder rural households in sub-Saharan Africa.","M Musumba  et al.,2022","Farm-level, infrastructure","SSA Highland Perennial","SSA Highland Perennial-Connection-108"
"Inadequate agri research and development","Is mitigated by","Improve access to modern processing technologies","Digital technologies has the potential to transform the agricultural sector and by extension to improve livelihoods in sub-Saharan Africa.","FAO, 2022","Technology; Research and development","SSA Highland Perennial","SSA Highland Perennial-Connection-109"
"Unstable commodity prices","Is mitigated by","Improve interprovincial interventions","Intervention in dealing with commodity price uncertainty is crucial.","World Bank,2016","Financial; Institutions","SSA Highland Perennial","SSA Highland Perennial-Connection-110"
"Large contributor to national/regional GDP","Is mitigated by","Diversify livelihoods","Agriculture in Africa has a massive social and economic footprint. More than 60 percent of the population of sub-Saharan Africa is dependent on agriculture hence the need for livelihood diversification.","Lutz G. et al., 2019","Financial; Institutions","SSA Highland Perennial","SSA Highland Perennial-Connection-111"
"High illiteracy rates ","Is mitigated by","Promote literacy ","The type of literacy targeted is literacy in line with Agenda 2030 and its Sustainable Development Goal 4 to ensure inclusive and quality education and promote lifelong learning for all. Literacy also needs to comply with the targets of the African Union's Agenda 2063, one of the main thrusts of which is to make education a priority sector for the continent's development.","Rémy Habou,2017","Human capacity; institution","SSA Highland Perennial","SSA Highland Perennial-Connection-112"
"Limited uptake of modern technologies","Is mitigated by","Improve access to modern processing technologies","Adopt drying processes suited to changeable and more extreme climate conditions. Adopt improved and diversified tea processing technologies suitable for each seasonal harvest.","(Kamunya S. pers. comms., 2022)","Technology, human capacity","SSA Highland Perennial","SSA Highland Perennial-Connection-48"
"Farmers engaged in agri system","Exposed to","Risk to farmers of loss of livelihoods due to Climate Change","Tea is Kenya’s principal agricultural industry, employing over 2 million people. About 60% of tea cultivation is managed under smallholder units. Tea production offers direct and/or indirect employment to over 10% of the population.","(Muoki et al., 2020); (FAO, 2015)"," ","SSA Highland Perennial","SSA Highland Perennial-Connection-49"
"Farmers engaged in agri system","Exposed to","Risk to farmers of food insecurity due to Climate Change","In the drought-prone sub-Saharan African countries, the number of undernourished people has increased by 45.6% since 2012 due to increased food insecurity.","(UNFCCC, 2020)","Socioeconomic","SSA Highland Perennial","SSA Highland Perennial-Connection-113"
