"Label","Type-1","Type-2","Description","Tags","Bibliographic resource","Developer and name of external database","Link to external database","Type"
"Low access to markets","Vulnerability","Economic, financial and markets","The system is  vulnerable to low market access due to poor connectivity, however,there is potential for greater market development and access.","(S Coulibaly et al., 2022)","Governance"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"High prevalence of land degradation","Vulnerability","Sensitivity/
susceptibility to harm","This problem is not unique to this farming system – across most production ecologies in Africa, including the zones with higher rainfall, soil degradation continues at an alarming rate as a consequence of population and ecologically unsustainable management practices that reduce soil organic matter and soil biota, mine plant nutrients and contribute to rainfall runoff and soil erosion.","(FAO,2021)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"Unfavourable soil conditions","Vulnerability","Sensitivity/
susceptibility to harm","Soils of Agrisystems in sub- Saharan Africa (SSA) are largely unhealthy due to years of nutrient mining and limited organic or inorganic resupply. As such, crop yields have stagnated and high levels of food insecurity and poverty persists.","(FAO,2021)","Biophysical"," "," ","SSA Cereal-root crop mixed"
"High disease prevalence","Vulnerability","Sensitivity/
susceptibility to harm","The farming system has a diverse range of pests, given the range of crops that are grown.  The parasitic weeds striga in maize and Cassava virus is increasingly problematic and will continue to be constraints if soil health  is not improved. ","(FAO, 2022)","Pest and diseases"," "," ","SSA Cereal-root crop mixed"
"Water scarce area","Vulnerability","Sensitivity/
susceptibility to harm","Water scarcity is a constraint during the short drought between bimodal rains.","(J.A. Pena-Ramos et al.,2022)","Biophysical"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Reliance on rainfed agriculture","Vulnerability","Lack of capacity to cope and adapt","Because of heavy dependence on rainfed agriculture, about half  of the population in this system are vulnerable to frequent and severe droughts.","(B Shiferaw et al., 2014)","Weather and Environment"," "," ","SSA Cereal-root crop mixed"
"Lack of irrigation infrastructure ","Vulnerability","Lack of capacity to cope and adapt","Although irrigation in Africa has the potential to boost agricultural productivities by at least 50 percent, food production on the continent is almost entirely rainfed especially for the cereal root crop system.","(B Shiferaw et al., 2014)","Infrastructure"," "," ","SSA Cereal-root crop mixed"
"Crop is highly susceptible to diseases ","Vulnerability","Lack of capacity to cope and adapt","Maize, millet, Sorghum and Cassava are highly susceptible to diseases.","(FAO, 2022)","Pest and Diseases"," "," ","SSA Cereal-root crop mixed"
"Inadequate agri research and development","Vulnerability","Lack of capacity to cope and adapt","Majority of the smallholder farmers are vulnerable to  agro-ecological and socio-economic diversity at farm level and with ever-changing needs and opportunities due to inadequate agri-research and development.","(Stoop and Hart, 2006)","Research and Development"," "," ","SSA Cereal-root crop mixed"
"High poverty levels 






","Vulnerability","Lack of capacity to cope and adapt","About half the population in this farming system lives in abject poverty.","(EH Atake et al.,2018)","Finance"," "," ","SSA Cereal-root crop mixed"
"Low access to markets","Vulnerability","Lack of capacity to cope and adapt","Due to poor infrastructure such as roads connecting markets in the region.","(S Coulibaly et al., 2022)","Governance"," "," ","SSA Cereal-root crop mixed"
"Inability to interpret climate information","Vulnerability","Lack of capacity to cope and adapt","Majority of the smallholder farmers are unable to interpret climate change signs and therefore, vulnerable to impacts of climate change.","(T Alemu et al., 2011)","Human Capacity"," "," ","SSA Cereal-root crop mixed"
"Implement reforestation practices","Adaptation option","Natural capital","Another adaptation option lies with agroforestry, whereby economically valuable trees can be integrated into the systems. The shea tree has been naturally regenerated and cultured across tens of millions of hectares in the farming system for many generations.","(D. Princess Akinyi et al.,2021)","Ecosystem; Community level"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Invest in water harvesting and storage infrastructure","Adaptation option","Physical capital","Harvesting rainwater run off in ponds and dams to be used for irrigation during the dry seasons. Roof rainwater need also to be harvested and stored in clean tanks for domestic use.","(N. Innocent et al., 2020)","Infrastructure; Community level; Partnership required"," "," ","SSA Cereal-root crop mixed"
"Invest in irrigation infrastructure","Adaptation option","Physical capital","Empowering farmers especially maize and cassava smallholder farmers to practice drip irrigation.","(T Shah et al., 2020)","Infrastructure;Technology;Community level; Partnership required"," "," ","SSA Cereal-root crop mixed"
"Invest in road infrastructure","Adaptation option","Physical capital","Roads play a vital role in strengthening the socio-economic development of regions in the Agri-system by providing local communities with critical connections between essential market points, service towns and infrastructure.","(J. Maritz, K et al.,2019)","Infrastructure;  Partnership required"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
"Adopt drought tolerant varieties






","Adaptation option","Human capital","Drought tolerant Maize, cassava, millet and sorghum varieties are able to tolerate and sustain the increased drought events and temperatures during production.","(M Fisher et al.,2015)","Technology; Partnership required"," "," ","SSA Cereal-root crop mixed"
"Invest in agricultural research and development","Adaptation option","Human capital","To help come up with improved and high yielding varieties.","(IMF, 2020)","Research and development; Farm level"," "," ","SSA Cereal-root crop mixed"
"Diversify livelihoods","Adaptation option","Human capital","Not only depending on Agriculture solely, moreso a single crop enterprise.","(S Alobo Loison , 2015)","Governance; Network required"," "," ","SSA Cereal-root crop mixed"
"Build women's  capacity ","Adaptation option","Human capital","Women are the one's mostly involved in Agricultural activities and their ability to successfully adapt to the changing environment will prove vital to their quality of life and development and to that of their families.","(UN,2009)","Gender; Community level"," "," ","SSA Cereal-root crop mixed"
"Implement water conservation irrigation","Adaptation option","Human capital","For small-scale farmers in cereal root crop, improved water management together with drip- and micro-irrigation can greatly enhance overall production, particularly during the dry season.","(Ngigi Stephen and Denning  G., 2011)","Conservation Agriculture; Farm level; Partnership required"," "," ","SSA Cereal-root crop mixed"
"Implement conservation agriculture practices","Adaptation option","Human capital","For example Zero tillage, nutrient management, conservation tillage, cover crops and field-edge filter strips to help reduce soil erosion.","(EL Chinseu et al., 2022)","Conservation Agriculture; Farm level; Partnership required"," "," ","SSA Cereal-root crop mixed"
"Improve climate change awareness
","Adaptation option","Human capital","The Climate Change Adaptation in Africa (CCAA) research and capacity development program aimed to improve the capacity of African countries awareness to climate change in ways that benefit the most vulnerable.","(D.Princess Akinyi et al.,2021)","Human Capacity; Farm level"," "," ","SSA Cereal-root crop mixed"
"Implement climate smart agriculture practices





","Adaptation option","Human capital","The farming system also needs to become more climate-smart, that is, adapt to climate change through biological soil health management, moisture capture and retention, and root system development that can support stronger resilient plants. Appropriate mechanization can facilitate adoption of these practices, by using CA principles, specific no-till direct seeding equipment, and precision farming technologies which reduce the use of inputs and the danger of soil compaction.","(P Newell et al., 2019)","Climate smart agriculture; Farm level; Policy level"," "," ","SSA Cereal-root crop mixed"
"Adopt post-harvest technologies","Adaptation option","Human capital","Postharvest adoption contributes to reducing poverty by enhancing income earning opportunities for poor people, and by providing time-saving processed foods to the urban poor.","(T Stathers et al., 2020)","Climate smart agriculture; Farm level"," "," ","SSA Cereal-root crop mixed"
"Adopt disease tolerant varieties","Adaptation option","Human capital","There is need for disease tolerant varieties adoption in the region.","(FAO, 2022)","Pest and diseases; Farm level"," "," ","SSA Cereal-root crop mixed"
" "," "," "," "," "," "," "," ","SSA Cereal-root crop mixed"
